"Job Titles" Department "Annual Salary"
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
CAPTAIN FIRE 128970
"FIRE ENGINEER-EMT" FIRE 103350
LIEUTENANT-EMT FIRE 114324
"SENIOR EMERGENCY MANAGEMENT COORD" OEMC 92592
"ADMINISTRATIVE SERVICES OFFICER I" OEMC 76932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 87006
PARAMEDIC FIRE 76266
"PRINCIPAL DATA BASE ANALYST" POLICE 88080
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 95484
"FIRE ENGINEER-EMT" FIRE 110214
"POLICY ANALYST" "FAMILY & SUPPORT" 80076
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 69492
"FINGERPRINT TECHNICIAN III" POLICE 92592
"ADMINISTRATIVE SERVICES OFFICER I" "STREETS & SAN" 73440
"POLICE OFFICER" POLICE 68616
"PARKING ENFORCEMENT AIDE" FINANCE 36396
"SUPVSR OF AUDITING" FINANCE 115932
"POLLING PLACE INVESTIGATOR II" "BOARD OF ELECTION" 57096
"PARALEGAL II" LAW 73440
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER" POLICE 72510
FIREFIGHTER FIRE 87006
"POLICE TECHNICIAN" POLICE 98052
"POLICE OFFICER" POLICE 68616
"PRINCIPAL DATA BASE ANALYST" DoIT 113868
"POLICE OFFICER" POLICE 93354
"DEPUTY DIR" OEMC 124056
"POLICE OFFICER" POLICE 68616
"COMMUNICATIONS OPERATOR II - 311" OEMC 66948
SERGEANT POLICE 111474
"LIBRARY CLERK" "PUBLIC LIBRARY" 46152
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
FIREFIGHTER-EMT FIRE 95484
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 48078
"SENIOR DATA ENTRY OPERATOR" HEALTH 63876
PARAMEDIC FIRE 93666
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"STAFF ASST" "STREETS & SAN" 88344
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 103272
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 46788
"POLICE COMMUNICATIONS OPERATOR II" OEMC 52776
"POLICE OFFICER" POLICE 87006
"POLICE COMMUNICATIONS OPERATOR I" OEMC 73992
"AUDITOR II" FINANCE 92388
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
LIEUTENANT-EMT FIRE 117996
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 72510
"DEPUTY COMMISSIONER" "BUSINESS AFFAIRS" 106848
"POLICE OFFICER" POLICE 84054
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"LIBRARIAN I" "PUBLIC LIBRARY" 53940
"DEPUTY DIR" FINANCE 120444
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 84054
"LIBRARIAN III" "PUBLIC LIBRARY" 92388
FIREFIGHTER-EMT FIRE 92274
"SERVICE WRITER" "GENERAL SERVICES" 63828
"ADMINISTRATIVE ASST II" "ADMIN HEARNG" 60972
"DIRECTOR OF FINANCE" "PUBLIC LIBRARY" 106872
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 48078
"POLICE COMMUNICATIONS OPERATOR II" OEMC 52776
"ADMINISTRATIVE ASST III" POLICE 84420
"FIRE ENGINEER-EMT" FIRE 110214
"FIRE ENGINEER" FIRE 100980
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
"CIVIL ENGINEER IV" TRANSPORTN 110064
"LIBRARIAN II" "PUBLIC LIBRARY" 84516
SERGEANT POLICE 107988
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
"PARAMEDIC I/C" FIRE 94122
"FIRE ENGINEER-EMT" FIRE 107106
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 104628
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 47988
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 95484
PARAMEDIC FIRE 76266
FIREFIGHTER-EMT FIRE 92274
"DETENTION AIDE" POLICE 77520
"ADMINISTRATIVE ASST" "MAYOR'S OFFICE" 50004
"POLICE OFFICER" POLICE 84054
LIEUTENANT POLICE 123894
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 93354
"FIRE ENGINEER" FIRE 97440
"STAFF ASST" AVIATION 88344
"DEPUTY CITY CLERK" "CITY CLERK" 125292
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 90024
"ASST SUPT OF WATER METERS" "WATER MGMNT" 96720
"ASST COMMISSIONER" AVIATION 111192
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"FIRE ENGINEER-EMT" FIRE 103350
"POLICE OFFICER" POLICE 90024
FIREFIGHTER/PARAMEDIC FIRE 94476
"POLICE OFFICER" POLICE 90024
LIEUTENANT POLICE 127692
"TRAINING OFFICER" POLICE 101592
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"AMBULANCE COMMANDER" FIRE 121452
LIEUTENANT POLICE 120252
SERGEANT POLICE 104628
"POLICE FORENSIC INVESTIGATOR I" POLICE 111252
"POLICE OFFICER" POLICE 48078
LIEUTENANT-EMT FIRE 114324
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 72510
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 112854
"POLICE OFFICER" POLICE 96060
"POLICE COMMUNICATIONS OPERATOR II" OEMC 52776
FIREFIGHTER FIRE 87006
"INVESTIGATOR III - IG" "INSPECTOR GEN" 70020
"FIRE ENGINEER" FIRE 97440
FIREFIGHTER-EMT FIRE 95484
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
CAPTAIN-EMT FIRE 136794
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"PLUMBING INSPECTOR" "WATER MGMNT" 102510
"SERVICE WRITER" "GENERAL SERVICES" 76896
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"ADMINISTRATIVE ASST II" AVIATION 70092
"POLICE OFFICER" POLICE 84054
PARAMEDIC FIRE 76266
FIREFIGHTER FIRE 93666
"COORD OF FIRE AWARENESS" FIRE 157776
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"PARALEGAL II" LAW 84420
FIREFIGHTER-EMT FIRE 95484
FIREFIGHTER/PARAMEDIC FIRE 94476
FIREFIGHTER/PARAMEDIC FIRE 91272
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
RECRUITER "HUMAN RESOURCES" 95580
PARAMEDIC FIRE 87006
"POLICE OFFICER" POLICE 87006
"AVIATION SECURITY SERGEANT" AVIATION 77280
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 107988
LIEUTENANT-EMT FIRE 114324
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
LIEUTENANT-PARAMEDIC FIRE 120804
"STAFF ASST" LAW 80568
FIREFIGHTER-EMT FIRE 92274
SERGEANT POLICE 101442
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 96060
"SENIOR LIBRARY CLERK" "PUBLIC LIBRARY" 50628
"FIRE ENGINEER" FIRE 103932
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 90024
SERGEANT POLICE 101442
"DIR OF NEWS AFFAIRS" POLICE 126564
"CLERK IV" FINANCE 50124
"POLICE OFFICER" POLICE 93354
FIREFIGHTER FIRE 97386
FIREFIGHTER FIRE 90024
"COORDINATING ARCHITECT" "GENERAL SERVICES" 95760
"FIRST DEPUTY DIR" OEMC 154428
"SANITARIAN II" HEALTH 92592
LIEUTENANT POLICE 127692
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"LIBRARIAN I" "PUBLIC LIBRARY" 53940
"LABOR RELATIONS SUPVSR" HEALTH 80376
"POLICE OFFICER" POLICE 90024
"COORD OF STUDIO OPERATIONS" "BUSINESS AFFAIRS" 89076
"CLERK IV" "FAMILY & SUPPORT" 58248
"POLICE OFFICER" POLICE 68616
"ELECTRICAL INSPECTOR" BUILDINGS 100164
"PROGRAM DIR" HEALTH 89076
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 48078
"FIRE ENGINEER" FIRE 103932
FIREFIGHTER FIRE 93666
FIREFIGHTER FIRE 93666
"LIBRARIAN I" "PUBLIC LIBRARY" 76548
"POLICE OFFICER" POLICE 72510
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"FIRST DEPUTY COMMISSIONER" "HUMAN RELATIONS" 120444
"CLERK IV" TRANSPORTN 58248
"REGIONAL NUTRITION COORD" HEALTH 84324
"POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST)" POLICE 107790
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 90024
SERGEANT POLICE 104628
"POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER)" POLICE 100980
"FIELD SERVICE SPECIALIST II" TRANSPORTN 63180
"POLICE OFFICER" POLICE 93354
"PARAMEDIC I/C" FIRE 91080
"INVESTIGATOR I - IG" "INSPECTOR GEN" 59448
"PROJECT COORD" "COMMUNITY DEVELOPMENT" 77484
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"BATTALION CHIEF - EMT" FIRE 149502
SERGEANT POLICE 107988
"AVIATION COMMUNICATIONS OPERATOR" OEMC 81156
"FIRE ENGINEER-EMT" FIRE 107106
"CLERK IV" "GENERAL SERVICES" 70092
"DIR OF PUBLIC INFORMATION" FINANCE 91800
"POLICE OFFICER" POLICE 96060
"AMBULANCE COMMANDER" FIRE 121452
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
SERGEANT POLICE 107988
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"SUPERVISING PARALEGAL" LAW 89076
"PROJECT MANAGER - DOIT" DoIT 98664
"POLICE OFFICER" POLICE 87006
"EPIDEMIOLOGIST II" HEALTH 72264
LIEUTENANT-EMT FIRE 117996
FIREFIGHTER/PARAMEDIC FIRE 91272
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"DETENTION AIDE" POLICE 56004
"PROGRAM DEVELOPMENT COORD" "FAMILY & SUPPORT" 52176
"SUPERVISING PARALEGAL" LAW 89076
"PUBLIC HEALTH ADMINISTRATOR III" HEALTH 70512
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
"LIBRARY CLERK" "PUBLIC LIBRARY" 44088
"HR RECORDS ADMINISTRATION MANAGER" "HUMAN RESOURCES" 76716
"ASST TO THE CITY TREASURER" TREASURER 66300
"DEPUTY DIR" OEMC 88440
"POLICE COMMUNICATIONS OPERATOR I" OEMC 48072
"FOREMAN OF TRAFFIC SIGNAL REPAIRMEN" TRANSPORTN 112112.04
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 92274
"FIRE ENGINEER-EMT" FIRE 107106
"DETENTION AIDE" POLICE 48072
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II" HEALTH 84420
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 87006
"COORDINATING ENGINEER I" TRANSPORTN 105816
"SUPPORT SERVICES COORD" "FAMILY & SUPPORT" 80568
FIREFIGHTER-EMT FIRE 92274
"DEPUTY COMMISSIONER" "FAMILY & SUPPORT" 125316
CAPTAIN POLICE 136170
"POLICE OFFICER" POLICE 72510
"FIRE ENGINEER" FIRE 103932
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 68616
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 34500
"POLICE OFFICER" POLICE 48078
"SENIOR CLERK-ELECTIONS" "BOARD OF ELECTION" 55704
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"DETENTION AIDE" POLICE 61464
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 98052
"REFUSE COLLECTION COORD" "STREETS & SAN" 101544
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
LIEUTENANT-EMT FIRE 117996
"FILTRATION ENGINEER IV" "WATER MGMNT" 110064
"AREA COORD - CAPS" POLICE 97740
"POLICE OFFICER" POLICE 84054
LIEUTENANT-EMT FIRE 114324
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"POLICE OFFICER" POLICE 84054
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 40404
FIREFIGHTER-EMT FIRE 89148
"ASST TO THE ALDERMAN" "CITY COUNCIL" 88800
"AUDITOR II" FINANCE 63480
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 92592
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"FIRE COMMUNICATIONS OPERATOR I" OEMC 68328
PARAMEDIC FIRE 84054
"ASST TO THE ALDERMAN" "CITY COUNCIL" 86628
"POLICE OFFICER" POLICE 96060
SERGEANT POLICE 101442
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 63876
"CIVIL ENGINEER III" TRANSPORTN 100776
"POLICE OFFICER" POLICE 76266
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
FIREFIGHTER-EMT FIRE 84870
SERGEANT POLICE 104628
PARAMEDIC FIRE 76266
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"CONTRACTS COORD" "CULTURAL AFFAIRS" 80376
FIREFIGHTER-EMT FIRE 89148
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"POLICE OFFICER" POLICE 90024
"RESIDENT SERVICES COORD I" "FAMILY & SUPPORT" 69492
"POLICE OFFICER" POLICE 93354
CAPTAIN FIRE 128970
"AUDITOR II" FINANCE 92388
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE COMMUNICATIONS OPERATOR I" OEMC 48072
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
"LIBRARY CLERK" "PUBLIC LIBRARY" 53076
"SENIOR ENVIRONMENTAL INSPECTOR" HEALTH 88344
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 96060
SERGEANT POLICE 107988
"PRESS SECRETARY" "MAYOR'S OFFICE" 160002
"ASST TO THE ALDERMAN" "CITY COUNCIL" 67356
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"SENIOR DATA ENTRY OPERATOR" HEALTH 63876
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"LIBRARIAN III" "PUBLIC LIBRARY" 92388
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 97056
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 68616
"LIBRARY CLERK" "PUBLIC LIBRARY" 30588
"POLICE OFFICER" POLICE 48078
"AVIATION SECURITY OFFICER" AVIATION 52776
"DEPUTY DIR" FINANCE 120444
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 98052
"POLICE OFFICER" POLICE 93354
"CULTURAL AFFAIRS COORD II" "CULTURAL AFFAIRS" 73944
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
"DIR OF LOAN PROCESSING" "COMMUNITY DEVELOPMENT" 97740
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 90024
"CIVIL ENGINEER IV" TRANSPORTN 91464
"POLICE OFFICER" POLICE 87006
"ASSOCIATE STAFF ATTORNEY" "BUSINESS AFFAIRS" 56178
"POLICE OFFICER" POLICE 87006
LIEUTENANT POLICE 123894
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 48078
"ADMINISTRATIVE ASST III" "BUSINESS AFFAIRS" 70092
"ASST TO THE EXEC DIR" "BOARD OF ELECTION" 71364
"SUPERVISING FIRE MARSHAL-EMT" FIRE 121818
"POLICE OFFICER" POLICE 48078
"DATA SERVICES ADMINISTRATOR" "CULTURAL AFFAIRS" 97740
"SUPVSR OF ELECTRICAL INSPECTORS" BUILDINGS 104652
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 47940
"REFUSE COLLECTION COORD" "STREETS & SAN" 92556
"POLICE OFFICER" POLICE 48078
"DIR OF COLLECTION PROCESSING" "CITY CLERK" 102348
SERGEANT POLICE 111474
"STAFF ASST" BUILDINGS 88344
"POLICE OFFICER" POLICE 84054
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 60972
"ACCOUNTANT II" FINANCE 59436
"POLICE OFFICER" POLICE 48078
"CIVIL ENGINEER IV" TRANSPORTN 87492
"POLICE OFFICER" POLICE 72510
"MANAGING DEPUTY COMPTROLLER" FINANCE 134316
"CIVIL ENGINEER V" BUILDINGS 120312
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"FIRE ENGINEER-EMT" FIRE 107106
"SUPVSR OF AUDITING" FINANCE 115932
"ANIMAL SHELTER MANAGER" "ANIMAL CONTRL" 68220
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 84054
"STAFF ASST" "FAMILY & SUPPORT" 84420
SERGEANT POLICE 111474
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 92556
"DEPUTY COMMISSIONER" TRANSPORTN 130380
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 111474
"PRINCIPAL PROGRAMMER/ANALYST" OEMC 106848
INVESTIGATOR POLICE 52176
"CLERK IV" "FAMILY & SUPPORT" 58248
SERGEANT POLICE 101442
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"SANITARY ENGINEER II" "WATER MGMNT" 63480
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"NUTRITION TECHNICIAN" HEALTH 63876
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 84870
"DETENTION AIDE" POLICE 48072
"ACCOUNTANT IV" FINANCE 100776
"POLICE COMMUNICATIONS OPERATOR II" OEMC 81156
"AMBULANCE COMMANDER" FIRE 128970
LIEUTENANT-EMT FIRE 121818
"POLICE OFFICER" POLICE 90024
FIREFIGHTER FIRE 97386
"STAFF ASST" FINANCE 76932
"POLICE OFFICER" POLICE 87006
"SR FORENSIC DATA ANALYST" "INSPECTOR GEN" 91188
"POLICE OFFICER" POLICE 48078
"SUPERVISING POLICE COMMUNICATIONS OPERATOR" OEMC 99024
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"DIR OF INFORMATION SYSTEMS" "BUDGET & MGMT" 114552
"POLICE OFFICER" POLICE 93354
"BRIDGE OPERATOR" TRANSPORTN 52536
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 111474
FIREFIGHTER/PARAMEDIC FIRE 97746
"ACCOUNTANT III" TREASURER 92388
"POLICE OFFICER" POLICE 72510
"ASST CORPORATION COUNSEL SUPVSR" LAW 91224
"ASST DIR" FINANCE 90216
FIREFIGHTER-EMT FIRE 84870
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"POLICE OFFICER" POLICE 72510
"PROGRAM AUDITOR II" "FAMILY & SUPPORT" 80568
PARAMEDIC FIRE 76266
"EXPLOSIVES TECHNICIAN I" POLICE 107790
FIREFIGHTER FIRE 90024
"POLICE OFFICER" POLICE 87006
"SANITARIAN II" HEALTH 80568
"PRINCIPAL DATA BASE ANALYST" DoIT 113868
"ASST MANAGER - BD OF ELECTIONS" "BOARD OF ELECTION" 82812
"POLICE OFFICER" POLICE 96060
"DEPUTY CORPORATION COUNSEL" LAW 139812
CAPTAIN POLICE 136170
"ASSOCIATE COMPLIANCE OFFICER" "INSPECTOR GEN" 68100
FIREFIGHTER/PARAMEDIC FIRE 94476
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"POLICE OFFICER" POLICE 87006
"SUPERVISING POLICE COMMUNICATIONS OPERATOR" OEMC 99024
"POLICE OFFICER" POLICE 87006
"LIBRARY CLERK" "PUBLIC LIBRARY" 44088
"DEPUTY COMMISSIONER" "GENERAL SERVICES" 127488
"POLICE OFFICER" POLICE 68616
"PUBLIC HEALTH ADM III - EXCLUDED" HEALTH 85008
LIEUTENANT POLICE 120252
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 87006
LIEUTENANT-EMT FIRE 114324
SERGEANT POLICE 104628
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 94524
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
FIREFIGHTER-EMT FIRE 89148
"CIVIL ENGINEER III" AVIATION 100776
"POLICE OFFICER" POLICE 48078
"FIRE ENGINEER-EMT" FIRE 103350
FIREFIGHTER-EMT FIRE 92274
SERGEANT POLICE 104628
"PLUMBING INSPECTOR" BUILDINGS 102510
"POLICE OFFICER" POLICE 90024
LIEUTENANT-EMT FIRE 117996
SERGEANT POLICE 107988
"SENIOR EMERGENCY MANAGEMENT COORD" HEALTH 70512
"LIBRARIAN III" "PUBLIC LIBRARY" 92388
"PAYMENT SERVICES REPRESENTATIVE" FINANCE 60972
"PARAMEDIC I/C" FIRE 91080
"POLICE OFFICER" POLICE 87006
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"PARAMEDIC FIELD CHIEF" FIRE 140970
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 69492
"ADMINISTRATIVE ASST - OFFICE ADMINISTRATOR" "MAYOR'S OFFICE" 92028
"AVIATION COMMUNICATIONS OPERATOR" OEMC 52776
COMMANDER POLICE 162684
"ADMINISTRATIVE ASST III" POLICE 84420
FIREFIGHTER-EMT FIRE 89148
"WATER CHEMIST IV" "WATER MGMNT" 100776
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"POLICE COMMUNICATIONS OPERATOR II" OEMC 52776
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
"LIBRARY CLERK" "PUBLIC LIBRARY" 53076
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 70092
"COMMUNICATIONS OPERATOR I - 311" OEMC 58248
"ASST COORD OF COLLECTION MANAGEMENT" "PUBLIC LIBRARY" 85008
"SENIOR LIBRARY CLERK" "PUBLIC LIBRARY" 31872
"SANITATION CLERK" "STREETS & SAN" 70056
"POLICE OFFICER" POLICE 48078
"CHIEF PLANNING ANALYST" "FAMILY & SUPPORT" 65496
"POLICE OFFICER" POLICE 72510
"AMBULANCE COMMANDER" FIRE 125130
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 93354
"WARD SUPERINTENDENT" "STREETS & SAN" 84168
LIEUTENANT-EMT FIRE 114324
"POLICE OFFICER" POLICE 84054
"CLERK IV - TIMEKEEPER" "GENERAL SERVICES" 54984
"HR RECORDS SPECIALIST" "HUMAN RESOURCES" 54984
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
COMMANDER POLICE 162684
"CLAIMS MANAGER" LAW 99648
LIEUTENANT-EMT FIRE 121818
"POLICE OFFICER" POLICE 90024
"DEPUTY COMMISSIONER" AVIATION 122820
"LIBRARIAN II" "PUBLIC LIBRARY" 84516
"SENIOR DATA ENTRY OPERATOR" TRANSPORTN 37980
"AVIATION SECURITY OFFICER" AVIATION 61464
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"PAYMENT SERVICES REPRESENTATIVE" FINANCE 40392
FIREFIGHTER-EMT FIRE 92274
"SENIOR DATA ENTRY OPERATOR" POLICE 63876
"EPIDEMIOLOGIST II" HEALTH 100776
"ACCOUNTING TECHNICIAN II" FIRE 63876
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"CLINICAL THERAPIST III" HEALTH 91464
"SENIOR PROGRAMMER/ANALYST" POLICE 110064
"POLICE OFFICER" POLICE 93354
"ADMINISTRATIVE ASST III" FIRE 84420
FIREFIGHTER/PARAMEDIC FIRE 78738
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 94524
"POLICE OFFICER" POLICE 48078
"NUTRITION TECHNICIAN" HEALTH 63876
"CIVIL ENGINEER IV" TRANSPORTN 110064
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 89148
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 103272
"POLICE OFFICER" POLICE 84054
"VENTILATION AND FURNACE INSPECTOR" BUILDINGS 96657.6
"AVIATION SECURITY OFFICER" AVIATION 52776
"REFUSE COLLECTION COORD" "STREETS & SAN" 76896
"CHIEF CONSTRUCTION EQUIPMENT INSPECTOR" BUILDINGS 111192
"ADMINISTRATIVE ASST II" "PUBLIC LIBRARY" 60972
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 96060
CAPTAIN POLICE 132876
"POLICE OFFICER" POLICE 80016
"PERSONNEL ASSISTANT" POLICE 70092
"POLICE COMMUNICATIONS OPERATOR II" OEMC 60648
